year,location,avg_temp,mov_avg_temp
1750,global,8.72,8.72
1751,global,7.98,8.35
1752,global,5.78,7.49333333333333
1753,global,8.39,7.7175
1754,global,8.47,7.868
1755,global,8.36,7.95
1756,global,8.85,8.07857142857143
1757,global,9.02,8.19625
1758,global,6.74,7.94875
1759,global,7.99,7.95
1760,global,7.19,8.12625
1761,global,8.77,8.17375
1762,global,8.61,8.19125
1763,global,7.50,8.08375
1764,global,8.40,8.0275
1765,global,8.25,7.93125
1766,global,8.41,8.14
1767,global,8.22,8.16875
1768,global,6.78,8.1175
1769,global,7.69,7.9825
1770,global,7.69,7.8675
1771,global,7.85,7.91125
1772,global,8.19,7.885
1773,global,8.22,7.88125
1774,global,8.77,7.92625
1775,global,9.18,8.04625
1776,global,8.30,8.23625
1777,global,8.26,8.3075
1778,global,8.54,8.41375
1779,global,8.98,8.555
1780,global,9.43,8.71
1781,global,8.10,8.695
1782,global,7.90,8.58625
1783,global,7.68,8.39875
1784,global,7.86,8.34375
1785,global,7.36,8.23125
1786,global,8.26,8.19625
1787,global,8.03,8.0775
1788,global,8.45,7.955
1789,global,8.33,7.98375
1790,global,7.98,7.99375
1791,global,8.23,8.0625
1792,global,8.09,8.09125
1793,global,8.23,8.2
1794,global,8.53,8.23375
1795,global,8.35,8.27375
1796,global,8.27,8.25125
1797,global,8.51,8.27375
1798,global,8.67,8.36
1799,global,8.51,8.395
1800,global,8.48,8.44375
1801,global,8.59,8.48875
1802,global,8.58,8.495
1803,global,8.50,8.51375
1804,global,8.84,8.585
1805,global,8.56,8.59125
1806,global,8.43,8.56125
1807,global,8.28,8.5325
1808,global,7.63,8.42625
1809,global,7.08,8.2375
1810,global,6.92,8.03
1811,global,6.86,7.825
1812,global,7.05,7.60125
1813,global,7.74,7.49875
1814,global,7.59,7.39375
1815,global,7.24,7.26375
1816,global,6.94,7.1775
1817,global,6.98,7.165
1818,global,7.83,7.27875
1819,global,7.37,7.3425
1820,global,7.62,7.41375
1821,global,8.09,7.4575
1822,global,8.19,7.5325
1823,global,7.72,7.5925
1824,global,8.55,7.79375
1825,global,8.39,7.97
1826,global,8.36,8.03625
1827,global,8.81,8.21625
1828,global,8.17,8.285
1829,global,7.94,8.26625
1830,global,8.52,8.3075
1831,global,7.64,8.2975
1832,global,7.45,8.16
1833,global,8.01,8.1125
1834,global,8.15,8.08625
1835,global,7.39,7.90875
1836,global,7.70,7.85
1837,global,7.38,7.78
1838,global,7.51,7.65375
1839,global,7.63,7.6525
1840,global,7.80,7.69625
1841,global,7.69,7.65625
1842,global,8.02,7.64
1843,global,8.17,7.7375
1844,global,7.65,7.73125
1845,global,7.85,7.79
1846,global,8.55,7.92
1847,global,8.09,7.9775
1848,global,7.98,8
1849,global,7.98,8.03625
1850,global,7.90,8.02125
1851,global,8.18,8.0225
1852,global,8.10,8.07875
1853,global,8.04,8.1025
1854,global,8.21,8.06
