year,location,avg_temp,mov_avg_temp
1743,Raleigh,7.81,7.81
1744,Raleigh,16.02,11.915
1745,Raleigh,7.61,10.48
1746,Raleigh,,10.48
1747,Raleigh,,10.48
1748,Raleigh,,10.48
1749,Raleigh,,10.48
1750,Raleigh,15.02,11.615
1751,Raleigh,15.79,13.61
1752,Raleigh,8.67,11.7725
1753,Raleigh,14.41,13.4725
1754,Raleigh,14.60,13.698
1755,Raleigh,12.02,13.4183333333333
1756,Raleigh,14.62,13.59
1757,Raleigh,14.00,13.64125
1758,Raleigh,12.96,13.38375
1759,Raleigh,13.94,13.1525
1760,Raleigh,12.60,13.64375
1761,Raleigh,15.01,13.71875
1762,Raleigh,14.39,13.6925
1763,Raleigh,12.38,13.7375
1764,Raleigh,14.38,13.7075
1765,Raleigh,13.99,13.70625
1766,Raleigh,14.89,13.9475
1767,Raleigh,13.60,13.905
1768,Raleigh,13.31,13.99375
1769,Raleigh,14.08,13.8775
1770,Raleigh,13.94,13.82125
1771,Raleigh,15.01,14.15
1772,Raleigh,14.60,14.1775
1773,Raleigh,14.83,14.2825
1774,Raleigh,14.38,14.21875
1775,Raleigh,15.19,14.4175
1776,Raleigh,14.09,14.515
1777,Raleigh,13.85,14.48625
1778,Raleigh,11.68,14.20375
1779,Raleigh,6.97,13.19875
1780,Raleigh,,12.9985714285714
1781,Raleigh,14.57,12.9614285714286
1782,Raleigh,14.05,12.9142857142857
1783,Raleigh,13.77,12.7114285714286
1784,Raleigh,13.62,12.6442857142857
1785,Raleigh,13.51,12.5957142857143
1786,Raleigh,14.04,12.9328571428571
1787,Raleigh,14.06,13.9457142857143
1788,Raleigh,14.65,14.03375
1789,Raleigh,14.36,14.0075
1790,Raleigh,14.29,14.0375
1791,Raleigh,14.42,14.11875
1792,Raleigh,13.87,14.15
1793,Raleigh,14.62,14.28875
1794,Raleigh,14.67,14.3675
1795,Raleigh,14.29,14.39625
1796,Raleigh,14.07,14.32375
1797,Raleigh,14.01,14.28
1798,Raleigh,14.84,14.34875
1799,Raleigh,14.45,14.3525
1800,Raleigh,14.38,14.41625
1801,Raleigh,14.76,14.43375
1802,Raleigh,15.02,14.4775
1803,Raleigh,14.91,14.555
1804,Raleigh,14.74,14.63875
1805,Raleigh,15.09,14.77375
1806,Raleigh,14.41,14.72
1807,Raleigh,14.19,14.6875
1808,Raleigh,14.28,14.675
1809,Raleigh,13.52,14.52
1810,Raleigh,13.78,14.365
1811,Raleigh,13.90,14.23875
1812,Raleigh,12.83,14
1813,Raleigh,13.87,13.8475
1814,Raleigh,13.63,13.75
1815,Raleigh,13.26,13.63375
1816,Raleigh,12.87,13.4575
1817,Raleigh,12.86,13.375
1818,Raleigh,13.38,13.325
1819,Raleigh,13.76,13.3075
1820,Raleigh,13.82,13.43125
1821,Raleigh,13.38,13.37
1822,Raleigh,14.68,13.50125
1823,Raleigh,13.93,13.585
1824,Raleigh,14.57,13.7975
1825,Raleigh,15.05,14.07125
1826,Raleigh,14.82,14.25125
1827,Raleigh,15.03,14.41
1828,Raleigh,16.39,14.73125
1829,Raleigh,14.29,14.845
1830,Raleigh,15.84,14.99
1831,Raleigh,13.79,14.9725
1832,Raleigh,14.57,14.9725
1833,Raleigh,14.63,14.92
1834,Raleigh,15.13,14.95875
1835,Raleigh,14.44,14.885
1836,Raleigh,13.53,14.5275
1837,Raleigh,14.40,14.54125
1838,Raleigh,14.25,14.3425
1839,Raleigh,14.58,14.44125
1840,Raleigh,14.77,14.46625
1841,Raleigh,14.26,14.42
1842,Raleigh,14.66,14.36125
1843,Raleigh,13.67,14.265
1844,Raleigh,14.67,14.4075
1845,Raleigh,14.70,14.445
1846,Raleigh,14.77,14.51
1847,Raleigh,14.05,14.44375
1848,Raleigh,14.42,14.4
1849,Raleigh,14.03,14.37125
1850,Raleigh,14.36,14.33375
1851,Raleigh,14.45,14.43125
1852,Raleigh,14.35,14.39125
1853,Raleigh,14.67,14.3875
1854,Raleigh,15.06,14.42375
1855,Raleigh,14.51,14.48125
1856,Raleigh,13.33,14.345
1857,Raleigh,13.40,14.26625
1858,Raleigh,14.43,14.275
1859,Raleigh,14.48,14.27875
1860,Raleigh,14.49,14.29625
1861,Raleigh,14.38,14.26
1862,Raleigh,14.32,14.1675
1863,Raleigh,14.05,14.11
1864,Raleigh,14.10,14.20625
1865,Raleigh,14.57,14.3525
1866,Raleigh,14.21,14.325
1867,Raleigh,13.84,14.245
1868,Raleigh,13.40,14.10875
1869,Raleigh,14.15,14.08
1870,Raleigh,14.39,14.08875
1871,Raleigh,14.73,14.17375
1872,Raleigh,13.35,14.08
1873,Raleigh,13.78,13.98125
1874,Raleigh,14.43,14.00875
1875,Raleigh,13.38,13.95125
1876,Raleigh,13.94,14.01875
1877,Raleigh,14.43,14.05375
1878,Raleigh,14.56,14.075
1879,Raleigh,14.51,14.0475
1880,Raleigh,14.83,14.2325
1881,Raleigh,15.02,14.3875
1882,Raleigh,14.34,14.37625
1883,Raleigh,14.33,14.495
1884,Raleigh,14.51,14.56625
1885,Raleigh,13.30,14.425
1886,Raleigh,13.53,14.29625
1887,Raleigh,14.11,14.24625
1888,Raleigh,14.04,14.1475
1889,Raleigh,14.34,14.0625
1890,Raleigh,15.29,14.18125
1891,Raleigh,14.19,14.16375
1892,Raleigh,13.67,14.05875
1893,Raleigh,13.85,14.1275
1894,Raleigh,14.73,14.2775
1895,Raleigh,13.51,14.2025
1896,Raleigh,14.77,14.29375
1897,Raleigh,14.54,14.31875
1898,Raleigh,14.50,14.22
1899,Raleigh,14.08,14.20625
1900,Raleigh,14.90,14.36
1901,Raleigh,13.48,14.31375
1902,Raleigh,14.22,14.25
1903,Raleigh,14.01,14.3125
1904,Raleigh,13.16,14.11125
1905,Raleigh,13.89,14.03
1906,Raleigh,14.53,14.03375
1907,Raleigh,14.05,14.03
1908,Raleigh,14.29,13.95375
1909,Raleigh,14.38,14.06625
1910,Raleigh,14.08,14.04875
1911,Raleigh,15.04,14.1775
1912,Raleigh,14.11,14.29625
1913,Raleigh,14.95,14.42875
1914,Raleigh,14.01,14.36375
1915,Raleigh,14.28,14.3925
1916,Raleigh,14.41,14.4075
1917,Raleigh,13.16,14.255
1918,Raleigh,14.27,14.27875
1919,Raleigh,14.90,14.26125
1920,Raleigh,13.70,14.21
1921,Raleigh,15.69,14.3025
1922,Raleigh,14.98,14.42375
1923,Raleigh,14.68,14.47375
1924,Raleigh,13.67,14.38125
1925,Raleigh,14.94,14.60375
1926,Raleigh,14.32,14.61
1927,Raleigh,14.90,14.61
1928,Raleigh,14.24,14.6775
1929,Raleigh,14.43,14.52
1930,Raleigh,14.65,14.47875
1931,Raleigh,15.33,14.56
1932,Raleigh,15.39,14.775
1933,Raleigh,15.72,14.8725
1934,Raleigh,14.72,14.9225
1935,Raleigh,14.51,14.87375
1936,Raleigh,14.61,14.92
1937,Raleigh,14.49,14.9275
1938,Raleigh,15.25,15.0025
1939,Raleigh,15.37,15.0075
1940,Raleigh,13.87,14.8175
1941,Raleigh,15.09,14.73875
1942,Raleigh,14.84,14.75375
1943,Raleigh,14.85,14.79625
1944,Raleigh,14.62,14.7975
1945,Raleigh,15.05,14.8675
1946,Raleigh,15.38,14.88375
1947,Raleigh,14.26,14.745
1948,Raleigh,14.85,14.8675
1949,Raleigh,15.59,14.93
1950,Raleigh,14.72,14.915
1951,Raleigh,14.81,14.91
1952,Raleigh,15.07,14.96625
1953,Raleigh,15.63,15.03875
1954,Raleigh,15.12,15.00625
1955,Raleigh,14.79,15.0725
1956,Raleigh,15.06,15.09875
1957,Raleigh,15.17,15.04625
1958,Raleigh,13.80,14.93125
1959,Raleigh,15.09,14.96625
1960,Raleigh,14.01,14.83375
1961,Raleigh,14.46,14.6875
1962,Raleigh,14.19,14.57125
1963,Raleigh,13.92,14.4625
1964,Raleigh,14.51,14.39375
1965,Raleigh,14.71,14.33625
1966,Raleigh,13.96,14.35625
1967,Raleigh,14.06,14.2275
1968,Raleigh,14.15,14.245
1969,Raleigh,13.96,14.1825
1970,Raleigh,14.81,14.26
1971,Raleigh,14.77,14.36625
1972,Raleigh,14.34,14.345
1973,Raleigh,14.98,14.37875
1974,Raleigh,14.85,14.49
1975,Raleigh,14.98,14.605
1976,Raleigh,14.10,14.59875
1977,Raleigh,14.59,14.6775
1978,Raleigh,14.02,14.57875
1979,Raleigh,14.14,14.5
1980,Raleigh,14.50,14.52
1981,Raleigh,14.06,14.405
1982,Raleigh,14.68,14.38375
1983,Raleigh,14.38,14.30875
1984,Raleigh,14.79,14.395
1985,Raleigh,15.09,14.4575
1986,Raleigh,15.32,14.62
1987,Raleigh,14.78,14.7
1988,Raleigh,14.12,14.6525
1989,Raleigh,14.47,14.70375
1990,Raleigh,16.23,14.8975
1991,Raleigh,15.85,15.08125
1992,Raleigh,14.57,15.05375
1993,Raleigh,14.92,15.0325
1994,Raleigh,14.98,14.99
1995,Raleigh,14.79,14.99125
1996,Raleigh,14.37,15.0225
1997,Raleigh,14.55,15.0325
1998,Raleigh,16.13,15.02
1999,Raleigh,15.48,14.97375
2000,Raleigh,14.75,14.99625
2001,Raleigh,15.29,15.0425
2002,Raleigh,15.62,15.1225
2003,Raleigh,14.82,15.12625
2004,Raleigh,15.27,15.23875
2005,Raleigh,15.32,15.335
2006,Raleigh,15.53,15.26
2007,Raleigh,15.94,15.3175
2008,Raleigh,15.08,15.35875
2009,Raleigh,14.90,15.31
2010,Raleigh,15.18,15.255
2011,Raleigh,15.84,15.3825
2012,Raleigh,15.97,15.47
2013,Raleigh,16.23,15.58375
